City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,presque isle,46.6811,-68.0159,8.24,58,100,4.12,US,1712877832
223,valdivia,-39.8142,-73.2459,13.05,77,0,0.9,CL,1712877821
224,akureyri,65.6835,-18.0878,0.96,86,75,5.14,IS,1712877743
225,antalaha,-14.9003,50.2788,24.78,93,29,1.51,MG,1712877842
226,nova vicosa,-17.8919,-39.3719,26.18,81,0,2.93,BR,1712877845
227,zhongxing,33.7039,118.6792,14.86,88,91,1.92,CN,1712877848
228,punta arenas,-53.15,-70.9167,8.06,66,0,14.4,CL,1712877132
229,remire-montjoly,4.9167,-52.2667,28.02,89,75,2.06,GF,1712877718
230,vila velha,-20.3297,-40.2925,27.75,82,20,2.06,BR,1712877858
231,sikasso,10.9167,-7.0,30.39,45,100,1.95,ML,1712877861
232,kavieng,-2.5744,150.7967,27.66,78,99,1.63,PG,1712877865
233,saint-philippe,-21.3585,55.7679,24.77,86,54,2.16,RE,1712877868
234,morehead city,34.7229,-76.726,21.01,86,100,9.39,US,1712877872
235,senanga,-16.1167,23.2667,20.75,79,74,1.8,ZM,1712877875
236,harper,4.375,-7.7169,26.65,84,100,2.85,LR,1712877878
237,hithadhoo,-0.6,73.0833,28.52,73,100,2.3,MV,1712877679
238,mount isa,-20.7333,139.5,21.87,33,0,4.12,AU,1712877885
239,dunedin,-45.8742,170.5036,9.33,94,100,1.34,NZ,1712877379
240,bayanaul,50.7889,75.6956,-3.44,83,41,2.37,KZ,1712877891
241,chibougamau,49.9168,-74.3659,7.79,76,100,3.6,CA,1712877895
242,kirensk,57.7853,108.1119,-5.58,95,100,2.24,RU,1712877898
243,norfolk,42.1668,-71.2495,13.3,94,100,2.06,US,1712877781
244,walvis bay,-22.9575,14.5053,16.81,82,5,2.83,NA,1712877904
245,dolinsk,47.35,142.8,5.4,72,30,5.01,RU,1712877908
246,caleta de carquin,-11.0925,-77.6267,22.8,79,57,4.75,PE,1712877911
247,mirpur sakro,24.5474,67.6277,24.87,71,1,4.65,PK,1712877856
248,weyburn,49.6668,-103.8511,11.12,28,5,5.14,CA,1712877705
249,ailuk,10.2197,169.9797,26.91,74,84,8.23,MH,1712877921
250,altamira,-3.2033,-52.2064,24.62,97,90,0.85,BR,1712877924
251,xiaoweizhai,26.1903,107.5125,18.14,99,100,1.04,CN,1712877927
252,medina,24.4686,39.6142,23.24,18,0,2.06,SA,1712877931
253,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712877934
254,delta del tigre,-34.7633,-56.3853,17.06,67,40,4.12,UY,1712877937
255,volovets,48.7109,23.1851,9.64,91,87,2.36,UA,1712877941
256,stettler,52.3168,-112.7186,12.86,30,100,9.77,CA,1712877944
257,usinsk,65.9939,57.5281,1.71,99,100,10.28,RU,1712877740
258,sydney,-33.8679,151.2073,20.2,74,20,2.57,AU,1712877600
259,thunder bay,48.4001,-89.3168,8.99,93,75,3.09,CA,1712877954
260,vila franca do campo,37.7167,-25.4333,18.27,99,36,1.66,PT,1712877284
261,guanare,9.0418,-69.7421,32.43,31,3,1.34,VE,1712877844
262,greymouth,-42.4667,171.2,12.2,86,77,5.14,NZ,1712877964
263,inhambane,-23.865,35.3833,22.06,68,99,5.57,MZ,1712877967
264,murray bridge,-35.1167,139.2667,12.97,65,40,1.43,AU,1712877720
